event_id,ticker,reaction_start,biotech_catalyst_event_type,drug_asset,indication,trial_name,nct_id,duplicate_key,same_key_event_count,source_doc_count,source_types,source_mirror_flag,prior_announcement_language_flag,conference_publication_language_flag,pipeline_or_investor_deck_language_flag,explicit_result_language_flag,duplicate_type,duplicate_risk_level,duplicate_findings
OMER_8-K_2021-10-18_0001558370-21-013245,OMER,2021-10-18,fda_complete_response_letter,HSCT-TMA,hematopoietic stem cell transplant-associated thrombotic microangiopathy,,,OMER|2021-10-18|fda_complete_response_letter|hsct tma,1,2,sec_exhibit;sec_primary_filing,True,False,True,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit;conference_or_publication_language_present
KURA_8-K_2021-11-24_0001193125-21-339334,KURA,2021-11-24,trial_halt,KO-539,relapsed or refractory acute myeloid leukemia (“AML”) on a partial clinical hold,,,KURA|2021-11-24|trial_halt|ko 539,1,1,sec_primary_filing,False,False,False,False,True,none,low,none
RGNX_8-K_2022-02-09_0001193125-22-032205,RGNX,2022-02-10,phase_1_readout,RGX-121,MPS II (Hunter Syndrome) at 18th Annual WORLDSymposiumTM 2022 • RGX-121,,,RGNX|2022-02-10|phase_1_readout|rgx 121,1,3,sec_exhibit;sec_primary_filing,True,False,False,False,False,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
ALNY_8-K_2022-04-04_0001193125-22-094409,ALNY,2022-04-04,orphan_drug_designation,Review,transthyretin-mediated (ATTR) amyloidosis,,,ALNY|2022-04-04|orphan_drug_designation|review,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,False,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
ALNY_8-K_2022-06-14_0001193125-22-173444,ALNY,2022-06-14,fda_approval,AMVUTTRA,the polyneuropathy of hereditary transthyretin-mediated amyloidosis in adults,HELIOS-A,,ALNY|2022-06-14|fda_approval|helios a,1,2,sec_exhibit;sec_primary_filing,True,False,True,False,False,source_mirror_only,medium,same_catalyst_supported_by_8k_and_exhibit;conference_or_publication_language_present
BEAM_8-K_2022-08-01_0000950170-22-013559,BEAM,2022-08-01,trial_halt,BEAM-201,relapsed/refractory T-cell acute lymphoblastic leukemia (T-ALL)/T cell lymphoblastic lymphoma (T-LL) has been placed on clinical hold,,,BEAM|2022-08-01|trial_halt|beam 201,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
BEAM_8-K_2022-08-30_0000950170-22-017868,BEAM,2022-08-30,trial_halt,BEAM-201,relapsed/refractory T-cell acute lymphoblastic leukemia/T-cell lymphoblastic lymphoma had been placed on clinical hold,,,BEAM|2022-08-30|trial_halt|beam 201,1,1,sec_primary_filing,False,False,False,False,True,none,low,none
CRSP_8-K_2022-09-27_0000950170-22-018864,CRSP,2022-09-27,orphan_drug_designation,TDT,scientific innovation to create transformative medicines for people with serious disease,The,,CRSP|2022-09-27|orphan_drug_designation|the,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,False,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
KYMR_8-K_2022-11-03_0001193125-22-276377,KYMR,2022-11-03,orphan_drug_designation,EX-99,hidradenitis suppurativa and atopic dermatitis,KT-474,NCT04772885,KYMR|2022-11-03|orphan_drug_designation|nct04772885,1,3,sec_exhibit;sec_primary_filing,True,False,False,False,False,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
EDIT_8-K_2022-11-17_0001558370-22-018016,EDIT,2022-11-17,safety_signal,Concept,blindness due to Leber congenital amaurosis 10 (LCA10,BRILLIANCE,,EDIT|2022-11-17|safety_signal|brilliance,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,False,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
IOVA_8-K_2022-11-18_0001104659-22-120278,IOVA,2022-11-21,fda_approval,PD-1,advanced melanoma,The,NCT02360579,IOVA|2022-11-21|fda_approval|nct02360579,1,4,sec_exhibit;sec_primary_filing,True,False,True,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit;conference_or_publication_language_present
EDIT_8-K_2022-12-06_0001558370-22-018383,EDIT,2022-12-06,safety_signal,EDIT-301,Severe Sickle Cell Disease,RUBY,,EDIT|2022-12-06|safety_signal|ruby,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,False,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
TGTX_8-K_2022-12-28_0001558370-22-019019,TGTX,2022-12-29,fda_approval,BRIUMVI,relapsing forms of multiple sclerosis (RMS),,NCT03277261,TGTX|2022-12-29|fda_approval|nct03277261,1,2,sec_exhibit;sec_primary_filing,True,False,True,False,False,source_mirror_only,medium,same_catalyst_supported_by_8k_and_exhibit;conference_or_publication_language_present
AUPH_8-K_2023-01-27_0001628280-23-001666,AUPH,2023-01-30,fda_approval,Aurinia,LUPUS NEPHRITIS,,,AUPH|2023-01-30|fda_approval|aurinia,1,1,sec_primary_filing,False,False,False,False,False,none,low,none
CRSP_8-K_2023-04-03_0000950170-23-011476,CRSP,2023-04-03,orphan_drug_designation,Rolling,Sickle Cell Disease and Transfusion-Dependent Beta Thalassemia -EU and UK filings completed in 2022,The,,CRSP|2023-04-03|orphan_drug_designation|the,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,False,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
NVAX_8-K_2023-05-09_0001000694-23-000039,NVAX,2023-05-09,phase_2_readout,Fall,,The,,NVAX|2023-05-09|phase_2_readout|the,1,3,sec_exhibit;sec_primary_filing,True,False,False,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
EDIT_8-K_2023-06-09_0001558370-23-010931,EDIT,2023-06-09,safety_signal,EDIT-301,the Phase I/II Clinical Trial (RUBY) of Patients with Severe Sickle Cell Disease,RUBY,NCT04853576,EDIT|2023-06-09|safety_signal|nct04853576,1,2,sec_exhibit;sec_primary_filing,True,False,True,False,False,source_mirror_only,medium,same_catalyst_supported_by_8k_and_exhibit;conference_or_publication_language_present
CRSP_8-K_2023-06-09_0000950170-23-027129,CRSP,2023-06-09,orphan_drug_designation,CLIMB-111,TDT,CLIMB-131,,CRSP|2023-06-09|orphan_drug_designation|climb 131,1,3,sec_exhibit;sec_primary_filing,True,False,True,False,False,source_mirror_only,medium,same_catalyst_supported_by_8k_and_exhibit;conference_or_publication_language_present
SRPT_8-K_2023-06-22_0000950170-23-029354,SRPT,2023-06-23,phase_3_readout,ELEVIDYS,precision genetic medicine for rare disease,,,SRPT|2023-06-23|phase_3_readout|elevidys,1,2,sec_exhibit;sec_primary_filing,True,False,True,False,False,source_mirror_only,medium,same_catalyst_supported_by_8k_and_exhibit;conference_or_publication_language_present
RARE_8-K_2023-07-06_0000950170-23-031902,RARE,2023-07-06,phase_3_readout,UX143,OI in 112 adults was concluded in 2019,,,RARE|2023-07-06|phase_3_readout|ux143,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
VIR_8-K_2023-07-20_0001193125-23-190147,VIR,2023-07-20,phase_2_readout,VIR-2482,committed to the pursuit of novel therapies that have the potential to address some of the world’s most serious infectious disease,PENINSULA,NCT05567783,VIR|2023-07-20|phase_2_readout|nct05567783,1,2,sec_exhibit;sec_primary_filing,True,False,True,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit;conference_or_publication_language_present
XENE_8-K_2023-08-09_0000950170-23-040608,XENE,2023-08-10,phase_3_readout,EX-99,XEN1101 Phase 2 X-NOVA clinical trial in major depressive disorder,X-NOVA,,XENE|2023-08-10|phase_3_readout|x nova,1,2,sec_exhibit;sec_primary_filing,True,False,True,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit;conference_or_publication_language_present
BIIB_8-K_2023-09-26_0001193125-23-242617,BIIB,2023-09-27,fda_approval,Reata,serious neurologic disease,,,BIIB|2023-09-27|fda_approval|reata,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
SNDX_8-K_2023-10-02_0000950170-23-050922,SNDX,2023-10-02,pivotal_trial_readout,AUGMENT-101,KMT2Ar AML was 24,AUGMENT-101,,SNDX|2023-10-02|pivotal_trial_readout|augment 101,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,False,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
RCKT_8-K_2023-10-02_0001140361-23-046302,RCKT,2023-10-03,priority_review,KRESLADI,Severe Leukocyte Adhesion Deficiency-I (LAD-I) Prescription Drug User Fee Act (PDUFA) target action date is March 31,,,RCKT|2023-10-03|priority_review|kresladi,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,False,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
ALNY_8-K_2023-10-10_0001193125-23-253084,ALNY,2023-10-10,fda_complete_response_letter,Supplemental,the Cardiomyopathy of ATTR Amyloidosis – FDA Cites Insufficient Evidence of Clinical Meaningfulness – – No Clinical Safety,,,ALNY|2023-10-10|fda_complete_response_letter|supplemental,1,2,sec_exhibit;sec_primary_filing,True,False,True,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit;conference_or_publication_language_present
KYMR_8-K_2023-11-02_0001193125-23-268944,KYMR,2023-11-02,safety_signal,KT-333,three solid tumor,,NCT05225584,KYMR|2023-11-02|safety_signal|nct05225584,1,2,sec_exhibit;sec_primary_filing,True,False,True,False,False,source_mirror_only,medium,same_catalyst_supported_by_8k_and_exhibit;conference_or_publication_language_present
XENE_8-K_2023-11-08_0000950170-23-061119,XENE,2023-11-09,phase_3_readout,X-TOLE2,major depressive disorder,X-TOLE,,XENE|2023-11-09|phase_3_readout|x tole,1,2,sec_exhibit;sec_primary_filing,True,False,True,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit;conference_or_publication_language_present
XENE_8-K_2023-11-27_0000950170-23-066032,XENE,2023-11-27,phase_2_readout,XEN1101,moderate to severe major depressive disorder,,,XENE|2023-11-27|phase_2_readout|xen1101,1,2,sec_exhibit;sec_primary_filing,True,False,True,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit;conference_or_publication_language_present
IOVA_8-K_2023-12-27_0001104659-23-129751,IOVA,2023-12-28,trial_halt,LN-145,non-small cell lung cancer,IOV-LUN-202,,IOVA|2023-12-28|trial_halt|iov lun 202,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
PRTA_8-K_2024-01-08_0001193125-24-003972,PRTA,2024-01-08,phase_1_readout,PRX012,AD that targets a key epitope at the N-terminus of amyloid beta (Aß) with high binding potency,Ongoing,NCT04777331,PRTA|2024-01-08|phase_1_readout|nct04777331,1,2,sec_exhibit;sec_primary_filing,True,False,True,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit;conference_or_publication_language_present
CABA_8-K_2024-02-01_0001193125-24-021894,CABA,2024-02-02,orphan_drug_designation,CABA-201,Myositis PHILADELPHIA,,,CABA|2024-02-02|orphan_drug_designation|caba 201,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,False,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
AUPH_8-K_2024-02-15_0001600620-24-000010,AUPH,2024-02-15,trial_discontinuation,December,,,,AUPH|2024-02-15|trial_discontinuation|december,1,2,sec_exhibit;sec_primary_filing,True,False,True,False,False,source_mirror_only,medium,same_catalyst_supported_by_8k_and_exhibit;conference_or_publication_language_present
IOVA_8-K_2024-02-20_0001104659-24-025082,IOVA,2024-02-20,fda_approval,Advanced,adult patients with unresectable or metastatic melanoma previously treated with a PD-1 blocking antibody,C-144-01,NCT05727904,IOVA|2024-02-20|fda_approval|nct05727904,1,3,sec_exhibit;sec_primary_filing,True,False,True,False,False,source_mirror_only,medium,same_catalyst_supported_by_8k_and_exhibit;conference_or_publication_language_present
IOVA_8-K_2024-03-04_0001104659-24-030249,IOVA,2024-03-04,trial_halt,EX-99,non-small cell lung cancer,IOV-LUN-202,,IOVA|2024-03-04|trial_halt|iov lun 202,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
CABA_8-K_2024-03-20_0001193125-24-072048,CABA,2024-03-20,orphan_drug_designation,CABA-201,systemic sclerosis (SSc),,,CABA|2024-03-20|orphan_drug_designation|caba 201,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,False,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
RARE_8-K_2024-05-30_0000950170-24-066553,RARE,2024-05-31,phase_3_readout,Glycogen,patients aged eight years and older with Glycogen Storage Disease Type Ia (“GSDIa”),,NCT05139316,RARE|2024-05-31|phase_3_readout|nct05139316,1,1,sec_primary_filing,False,False,False,False,True,none,low,none
GERN_8-K_2024-06-07_0000950170-24-070574,GERN,2024-06-10,fda_approval,RYTELO,the field of blood cancer,IMerge,,GERN|2024-06-10|fda_approval|imerge,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,False,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
RCKT_8-K_2024-06-28_0001140361-24-031749,RCKT,2024-07-01,fda_complete_response_letter,KRESLADI,,,,RCKT|2024-07-01|fda_complete_response_letter|kresladi,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
EXEL_8-K_2024-08-06_0000939767-24-000116,EXEL,2024-08-07,trial_discontinuation,Cabozantinib,Advanced Neuroendocrine Tumors,,,EXEL|2024-08-07|trial_discontinuation|cabozantinib,1,2,sec_exhibit;sec_primary_filing,True,False,True,False,False,source_mirror_only,medium,same_catalyst_supported_by_8k_and_exhibit;conference_or_publication_language_present
NVAX_8-K_2024-10-16_0001104659-24-108950,NVAX,2024-10-16,trial_halt,EX-99,,CIC,,NVAX|2024-10-16|trial_halt|cic,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
NTLA_8-K_2024-10-25_0001193125-24-244201,NTLA,2024-10-28,phase_2_readout,NTLA-2002,hereditary angioedema (HAE),,NCT06634420,NTLA|2024-10-28|phase_2_readout|nct06634420,1,2,sec_exhibit;sec_primary_filing,True,False,True,False,False,source_mirror_only,medium,same_catalyst_supported_by_8k_and_exhibit;conference_or_publication_language_present
SNDX_8-K_2024-11-12_0000950170-24-124545,SNDX,2024-11-12,pivotal_trial_readout,AUGMENT-101,R/R KMT2A-rearranged acute leukemias this quarter,AUGMENT-101,NCT04065399,SNDX|2024-11-12|pivotal_trial_readout|nct04065399,1,2,sec_exhibit;sec_primary_filing,True,False,True,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit;conference_or_publication_language_present
NVAX_8-K_2024-11-12_0001104659-24-116593,NVAX,2024-11-13,trial_halt,COVID-19-Influenza,,,,NVAX|2024-11-13|trial_halt|covid 19 influenza,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
XENE_8-K_2024-11-12_0000950170-24-125374,XENE,2024-11-13,phase_3_readout,X-TOLE2,epilepsy,,,XENE|2024-11-13|phase_3_readout|x tole2,1,2,sec_exhibit;sec_primary_filing,True,False,True,False,False,source_mirror_only,medium,same_catalyst_supported_by_8k_and_exhibit;conference_or_publication_language_present
SNDX_8-K_2024-11-18_0000950170-24-127708,SNDX,2024-11-18,fda_approval,Revuforj,R/R acute myeloid leukemia (AML) with a nucleophosmin 1 mutation (mNPM1),AUGMENT-101,,SNDX|2024-11-18|fda_approval|augment 101,1,2,sec_exhibit;sec_primary_filing,True,False,True,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit;conference_or_publication_language_present
ZYME_8-K_2024-11-21_0001193125-24-263398,ZYME,2024-11-22,accelerated_approval,EX-99,Adults with Previously Treated,HERIZON-BTC-01,,ZYME|2024-11-22|accelerated_approval|herizon btc 01,1,2,sec_exhibit;sec_primary_filing,True,False,True,False,False,source_mirror_only,medium,same_catalyst_supported_by_8k_and_exhibit;conference_or_publication_language_present
NTLA_8-K_2025-01-10_0001193125-25-004080,NTLA,2025-01-10,trial_discontinuation,CRISPR-based,alpha-1 antitrypsin deficiency-associated lung disease and select research-stage programs,HAELO,,NTLA|2025-01-10|trial_discontinuation|haelo,1,2,sec_exhibit;sec_primary_filing,True,False,True,False,False,source_mirror_only,medium,same_catalyst_supported_by_8k_and_exhibit;conference_or_publication_language_present
AXSM_8-K_2025-01-31_0000950170-25-011220,AXSM,2025-01-31,fda_approval,SYMBRAVO,the treatment of central nervous system (CNS) disorder,MOMENTUM,,AXSM|2025-01-31|fda_approval|momentum,1,2,sec_exhibit;sec_primary_filing,True,False,True,False,False,source_mirror_only,medium,same_catalyst_supported_by_8k_and_exhibit;conference_or_publication_language_present
AXSM_8-K_2025-02-10_0000950170-25-016678,AXSM,2025-02-10,fda_approval,Teva,the treatment of central nervous system (CNS) disorder,,,AXSM|2025-02-10|fda_approval|teva,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,False,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
INSM_8-K_2025-02-24_0001140361-25-005570,INSM,2025-02-24,priority_review,August,Bronchiectasis —FDA Reaffirms Application is Under Priority Review with a PDUFA Target Action Date of August 12,,,INSM|2025-02-24|priority_review|august,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,False,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
XENE_8-K_2025-02-27_0000950170-25-029010,XENE,2025-02-28,phase_3_readout,EX-99,multiple indications that include epilepsy,,,XENE|2025-02-28|phase_3_readout|ex 99,1,2,sec_exhibit;sec_primary_filing,True,False,True,False,False,source_mirror_only,medium,same_catalyst_supported_by_8k_and_exhibit;conference_or_publication_language_present
AXSM_8-K_2025-03-03_0000950170-25-030395,AXSM,2025-03-03,phase_3_readout,AXS-05,Alzheimer’s Disease,,,AXSM|2025-03-03|phase_3_readout|axs 05,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
AXSM_8-K_2025-03-05_0000950170-25-033064,AXSM,2025-03-05,fda_approval,Hikma,the treatment of central nervous system (CNS) disorder,,,AXSM|2025-03-05|fda_approval|hikma,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,False,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
ALNY_8-K_2025-03-21_0001178670-25-000038,ALNY,2025-03-21,fda_approval,AMVUTTRA,the cardiomyopathy of wild-type or hereditary transthyretin-mediated amyloidosis (ATTR-CM) in adults to reduce cardiovascular mortality,The,,ALNY|2025-03-21|fda_approval|the,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,False,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
XENE_8-K_2025-05-12_0000950170-25-069183,XENE,2025-05-13,phase_3_readout,XEN1701,multiple indications that include epilepsy,,,XENE|2025-05-13|phase_3_readout|xen1701,1,2,sec_exhibit;sec_primary_filing,True,False,True,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit;conference_or_publication_language_present
RGNX_8-K_2025-05-19_0001193125-25-122456,RGNX,2025-05-20,pivotal_trial_readout,RGX-121,SMA in more than 50 countries,,,RGNX|2025-05-20|pivotal_trial_readout|rgx 121,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,False,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
PRTA_8-K_2025-05-23_0001193125-25-125881,PRTA,2025-05-27,trial_discontinuation,Birtamimab,Alzheimer’s disease,,,PRTA|2025-05-27|trial_discontinuation|birtamimab,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
AXSM_8-K_2025-05-27_0000950170-25-077374,AXSM,2025-05-27,fda_approval,Hetero,the treatment of central nervous system (CNS) disorder,,,AXSM|2025-05-27|fda_approval|hetero,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,False,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
RCKT_8-K_2025-05-27_0001140361-25-020409,RCKT,2025-05-27,trial_halt,RP-A501,12 patients with Danon disease,,NCT06092034,RCKT|2025-05-27|trial_halt|nct06092034,1,2,sec_exhibit;sec_primary_filing,True,False,True,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit;conference_or_publication_language_present
RARE_8-K_2025-07-11_0000950170-25-095334,RARE,2025-07-14,fda_complete_response_letter,Biologics,,,,RARE|2025-07-14|fda_complete_response_letter|biologics,1,1,sec_primary_filing,False,False,False,False,True,none,low,none
SRPT_8-K_2025-07-21_0001193125-25-161516,SRPT,2025-07-21,trial_halt,SRP-9003,certain diseases in which there is little clinical experience and we are using new endpoints or methodologies,,,SRPT|2025-07-21|trial_halt|srp 9003,1,1,sec_primary_filing,False,False,False,False,True,none,low,none
XENE_8-K_2025-08-11_0000950170-25-106529,XENE,2025-08-12,phase_3_readout,X-NOVA3,our ongoing Phase 3 X-NOVA program in major depressive disorder,,,XENE|2025-08-12|phase_3_readout|x nova3,1,2,sec_exhibit;sec_primary_filing,True,False,True,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit;conference_or_publication_language_present
INSM_8-K_2025-08-12_0001140361-25-030537,INSM,2025-08-12,fda_approval,Non-Cystic,NCFB — — BRINSUPRI,ASPEN,,INSM|2025-08-12|fda_approval|aspen,1,3,sec_exhibit;sec_primary_filing,True,False,True,False,False,source_mirror_only,medium,same_catalyst_supported_by_8k_and_exhibit;conference_or_publication_language_present
PRTA_8-K_2025-08-27_0001193125-25-189765,PRTA,2025-08-28,fda_approval,PRX012,early symptomatic Alzheimer’s disease DUBLIN,OLE,,PRTA|2025-08-28|fda_approval|ole,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
ZYME_8-K_2025-09-02_0001193125-25-193351,ZYME,2025-09-02,trial_discontinuation,Discontinue,ovarian cancer and non-small cell lung cancer,,,ZYME|2025-09-02|trial_discontinuation|discontinue,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,False,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
SNDX_8-K_2025-10-24_0001193125-25-250052,SNDX,2025-10-27,fda_approval,Revuforj,R/R acute leukemia with a KMT2A translocation in adult and pediatric patients one year and older,AUGMENT-101,,SNDX|2025-10-27|fda_approval|augment 101,1,2,sec_exhibit;sec_primary_filing,True,False,True,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit;conference_or_publication_language_present
NTLA_8-K_2025-10-29_0001193125-25-256378,NTLA,2025-10-30,trial_halt,MAGNITUDE-2,,MAGNITUDE,,NTLA|2025-10-30|trial_halt|magnitude,1,1,sec_primary_filing,False,False,False,False,True,none,low,none
ZYME_8-K_2025-11-18_0001193125-25-285259,ZYME,2025-11-18,pivotal_trial_readout,HERIZON-GEA-01,gastroesophageal adenocarcinoma,HERIZON-GEA-01,,ZYME|2025-11-18|pivotal_trial_readout|herizon gea 01,1,3,sec_exhibit;sec_primary_filing,True,False,False,False,True,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
ARWR_8-K_2025-11-18_0000879407-25-000019,ARWR,2025-11-19,fda_approval,EX-99,adults with familial chylomicronemia syndrome,,NCT05089084,ARWR|2025-11-19|fda_approval|nct05089084,1,3,sec_exhibit;sec_primary_filing,True,False,True,False,False,source_mirror_only,medium,same_catalyst_supported_by_8k_and_exhibit;conference_or_publication_language_present
KYMR_8-K_2025-12-08_0001193125-25-310572,KYMR,2025-12-08,phase_1_readout,KT-621,AD and those with comorbid asthma and allergic rhinitis,,,KYMR|2025-12-08|phase_1_readout|kt 621,1,2,sec_exhibit;sec_primary_filing,True,False,False,False,False,source_mirror_only,low,same_catalyst_supported_by_8k_and_exhibit
